NM,H2,CH4,C2H6,C2H4,C2H2,Type
113,120.45,210.91,35.7,285.39,15.86,High-temperature overheating
114,87.17,17.26,3.94,12.87,32.81,Spark discharge
115,5.48,48.82,96.81,489.57,0.3,High-temperature overheating
116,605,1586,655,1901,2.3,High-temperature overheating
117,1.96,2.1,0.5,0.67,1.59,Spark discharge
118,462,212.4,31.6,0,0,Partial discharge
119,25.4,54.97,8.72,77.84,10.47,High-temperature overheating
120,131.7,116.55,19.4,183.97,0.32,High-temperature overheating
121,7911.85,947.43,96.93,907.19,4844.48,Spark discharge
122,21,2.01,0.46,1.48,5.61,Spark discharge
123,676.74,969.55,570.57,2483.26,17.48,High-temperature overheating
124,7238.97,695.16,231.6,2394.3,2308.92,Arc discharge
125,101.5,24.45,8.97,128.37,0,High-temperature overheating
126,73.8,148,38.9,181,1.76,High-temperature overheating
127,34.76,5.52,2.09,4.97,10.36,Spark discharge
128,18.19,21.99,6.58,46.92,3.97,High-temperature overheating
129,1.6,1,0.1,0.9,1.6,Spark discharge
130,22400,22400,2690,13440,1570,High-temperature overheating
131,670,224,45,67,2,Middle-temperature overheating
132,224,4.5,2,0,0,Low-temperature overheating
133,900,9180,0,900,22,Low-temperature overheating
134,0,224,0,45,0,Low-temperature overheating
135,470,4637,1300,448,0,Low-temperature overheating
136,65,20,10,5,0,Low-temperature overheating
137,53,39,3,4.5,0,Low-temperature overheating
138,219,44,3,3,0,Low-temperature overheating
139,37,47,10,5.5,0,Low-temperature overheating
140,34,30,34,2.5,0,Low-temperature overheating
141,14,62,16,3,0,Low-temperature overheating
142,65,34,16,112,0,High-temperature overheating
143,0.7,1.5,0.3,1.8,0,Middle-temperature overheating
144,0,0.2,0.1,0.13,0,Middle-temperature overheating
145,48,40,11,0.5,0,Low-temperature overheating
146,130,140,24,120,0,Low-temperature overheating
147,86,8,2.5,2.5,0,Low-temperature overheating
148,6,3,0.8,0.7,0,Low-temperature overheating
149,50,3,1,0,0,Low-temperature overheating
150,55,22,0.5,2.6,0,Low-temperature overheating
151,78,66,62,2.6,0,Low-temperature overheating
152,1600,3600,670,14,0,Partial discharge
153,6600,1000,38,2,19,Partial discharge
154,88,9,0,0.03,0,Partial discharge
155,2240,168,25,0,0,Partial discharge
156,1950,123,38,2,2,Partial discharge
157,2240,157,90,45,45,Partial discharge
158,73,8,4,2,12,Spark discharge
159,5000,4000,2000,2000,8000,Spark discharge
160,24.3,15.7,6.4,11.2,29.8,Spark discharge
161,2240,360,25,169,828,Spark discharge
162,4480,560,380,403,896,Spark discharge
163,2240,560,380,450,940,Spark discharge
164,200,230,2,170,480,Spark discharge
165,60,5,1,6,29,Spark discharge
166,890,110,3,84,700,Spark discharge
167,41,112,0,254,4536,Spark discharge
168,16000,4000,500,8500,16000,Arc discharge
169,21,75,24,126,0,High-temperature overheating
170,111,559,243,707,0,Middle-temperature overheating
171,23,59.9,18.6,56.9,0.1,Middle-temperature overheating
172,740,2227,567,4258,42,High-temperature overheating
173,388,860,230,1833,18.3,High-temperature overheating
174,84,126,28.9,132.2,0.37,Middle-temperature overheating
175,362,533,91,553,10,Middle-temperature overheating
176,103,221.7,47.2,422,0.9,High-temperature overheating
177,1769.7,554.2,145.2,1066.7,885.7,Arc discharge
178,38,3.7,0,4.1,19.4,Spark discharge
179,700,137.4,14.9,194.8,936.6,Spark discharge
180,253,21.5,5.9,16.1,72.4,Spark discharge
181,131,32,7.3,18.8,38.7,Spark discharge
182,116,20,7,27,54,Spark discharge
183,70,3.8,0.6,3.2,31.1,Spark discharge
184,34,18.9,3.7,9.4,5.6,Spark discharge
185,390,62.6,12.8,65.3,133.6,Arc discharge
186,1270,3450,520,1390,8,Low/Middle-temperature overheating
187,3420,7870,1500,6990,33,Low/Middle-temperature overheating
188,360,610,259,260,9,Low/Middle-temperature overheating
189,1,27,49,4,1,Low/Middle-temperature overheating
190,3675,6392,2500,7691,5,Low/Middle-temperature overheating
191,48,610,29,10,0,Low/Middle-temperature overheating
192,12,18,4,4,0,Low/Middle-temperature overheating
193,66,60,2,7,0,Low/Middle-temperature overheating
194,1450,940,211,322,61,Low/Middle-temperature overheating
195,0,18900,410,540,330,Low/Middle-temperature overheating
196,960,4000,1290,1560,6,Low/Middle-temperature overheating
197,24700,61000,26300,42100,1560,Low/Middle-temperature overheating
198,14,44,124,7,1,Low/Middle-temperature overheating
199,2031,149,20,3,0,Low/Middle-temperature overheating
200,480,1075,298,1132,0,Low/Middle-temperature overheating
201,40000,400,70,600,6,Low/Middle-temperature overheating
